ID,SEXO,IDADE,INSTX,REGIAO,UF,REG,COND,PORTE,F01,F02_IDADE,F02_FAIXA,F02_FX,F03,ALFAB,INST,P1_1_1,P1_1_0,P1_1_4,P1_1_2,P1_2_1_1,P1_2_1_2,P1_2_2,P1_1_6,P1_1_5,P1_2_3,P1_2_4,P2_2_2_1,P2_2_2_2,P2_2_2_3,P1_1_7_1,P1_1_7_2,P1_1_7_3,P1_1_7_4,P1_1_7_5,P1_1_7_6,P1_1_7_7,P2_1_0,P2_1_1,P2_1_6,P2_1_4_1,P2_1_4_2,P2_1_4_3,P2_1_3,P2_1_2_1,P2_1_2_2,P2_1_2_3,P2_1_2_4,P2_1_2_5,P2_2_3_1,P2_2_3_2,P2_2_3_3,RAÇA,RELIGIAO,P2_1_9,INTERNET,INTERNET1_1,INTERNET1_2,INTERNET1_3,INTERNET1_4,INTERNET1_5,INTERNET1_6,INTERNET2_1,INTERNET2_2,P2_1_8_1,P2_1_8_2,P2_1_8_3,P2_1_8_4,P2_1_8_5,P2_1_8_6,P2_1_8_7,P2_1_8_8,C2,C3,C4,CLASSE,FATOR_POND
11925,2,2,3,1,14,1,3,6,2,21,2,2,PARAUAPEBAS - PA,1,14,1,2,1,1,1, ,1,1,1,1,1,2,3,4,2,2,2,2,2,2,1,1,1,2,3,6,1,1,1,1,1,1,3,3,2,1,3,2,4,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,2,5,"1,17816"
12134,1,2,4,3,26,3,3,5,1,19,2,2,ITAPEVA - SP,1,15,1,2,1,1,3, ,1,1,1,1,5,2,3,4,1,2,1,2,2,2,2,1,1,2,6,3,7,1,1,1,1,1,3,2,3,4,1,10,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,2,2,1,1,1,5,1,"0,54723"
12165,2,4,4,3,26,3,2,6,2,40,4,4,CARAPICUÍBA - SP,1,16,1,2,1,1,1, ,1,1,1,1,5,3,2,1,1,2,1,2,2,2,1,1,1,2,1,3,7,1,1,1,1,1,3,3,1,2,1,10,2,1,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,5,3,"0,74037"
12252,1,3,3,4,18,4,3,4,1,27,3,3,IBIPORÃ - PR,1,14,1,2,1,1,1, ,1,1,1,1,5,1,2,3,1,2,2,2,2,2,2,2,1,2,3,7,5,2,1,1,1,1,3,3,2,1,1,10,3,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,"0,97073"
12453,1,4,3,2,16,2,3,5,1,44,4,4,OURICURI - PE,1,14,1,3,1,1,1, ,1,1,1,1,1,3,1,2,2,2,2,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,3,3,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,5,"0,93829"
12525,2,6,4,5,7,5,1,7,2,61,6,6,BRASÍLIA - DF,1,15,2,2,1,1,1, ,1,1,1,1,4,2,1,3,1,1,1,2,2,2,1,1,1,3, , , ,2,1,1,3,2,3,2,3,1,1,1,3,1,1,2,2,1,2,1,1,1,2,2,1,1,2,1,2,1,1,1,5,1,"0,32392"
12570,1,6,3,3,26,3,3,6,1,57,6,6,PINDAMONHANGABA - SP,1,14,3,3,1,1,3, ,1,1,3,1,2,3,1,2,2,2,2,1,2,1,2,1,1,3, , , ,1,1,1,2,2,3,3,1,2,3,1,2,1,1,2,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,4,2,"0,56836"
12576,2,5,4,3,26,3,3,6,2,53,5,5,SANTOS - SP,1,16,1,1,1,1,1, ,1,1,1,1,4,1,3,2,1,2,1,1,1,1,1,1,1,2,2,3,7,1,1,1,1,1,3,3,1,2,1,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,"0,72774"
12656,1,4,3,2,16,2,3,6,1,38,4,4,CARUARU - PE,1,14,2,2,1,1,1, ,1,1,1,1,6,3,1,4,2,2,1,2,1,2,1,1,1,2,2,1,7,1,1,1,1,1,3,1,4,3,1,1,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,2,1,1,2,4,5,"0,93829"
12921,2,3,3,3,26,3,1,7,2,30,3,3,SÃO PAULO - SP,1,14,2,2,1,1,1, ,1,1,1,1,1,1,2,3,1,1,1,1,1,2,1,2,1,3, , , ,1,1,1,1,1,1,3,1,4,1,12,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,2,2,2,1,1,5,3,"0,63601"
13025,2,2,2,4,18,4,2,5,2,24,2,2,FAZENDA RIO GRANDE - PR,1,10,1,2,1,1,1, ,1,1,1,1,4,3,1,2,1,2,1,2,1,1,1,1,1,2,9, , ,1,1,1,1,1,1,2,1,3,1,1,3,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,4,4,"1,12428"
13077,2,5,4,3,11,3,3,5,2,53,5,5,SÃO JOÃO DEL REI - MG,1,16,1,2,1,1,1, ,1,1,1,1,7,2,1,3,2,1,2,2,2,2,1,1,1,2,6,3,1,1,1,1,1,1,3,3,2,1,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,5,1,"0,32683"
13409,2,3,4,4,18,4,3,5,2,29,3,3,CASTRO - PR,1,16,1,3,1,1,1, ,1,1,1,1,7,1,2,3,1,2,1,2,1,2,1,1,1,2,3,1,2,1,1,1,1,1,3,2,3,4,3,1,5,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,5,3,"0,85016"
13417,2,6,4,4,23,4,3,3,2,63,6,6,BOM RETIRO DO SUL - RS,1,16,1,2,1,1,1, ,1,1,1,2,6,2,1,4,1,2,1,2,1,1,1,1,1,2,2,3,1,1,1,1,1,1,3,2,1,3,1,1,4,1,2,1,2,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,5,4,"1,63380"
13421,2,6,4,2,20,2,3,6,2,57,6,6,PARNAMIRIM - RN,1,16,2,1,2,1,1, ,1,1,1,1,7,1,2,3,1,2,1,2,1,2,1,1,1,2,3,6,7,1,1,1,1,1,3,3,2,4,3,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,4,3,"0,53756"
13634,1,3,4,3,26,3,1,7,1,32,3,3,SÃO PAULO - SP,1,16,1,2,1,1,1, ,1,1,2,1,8,3,2,4,1,2,2,2,2,2,1,1,1,2,1,2,3,1,1,1,1,1,3,3,2,4,1,11,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,1,5,2,"0,94524"
14113,1,5,3,3,26,3,3,4,1,50,5,5,DESCALVADO - SP,1,12,1,2,1,1,1, ,1,1,1,1,3,1,2,3,1,2,2,2,2,1,1,1,1,2,3,1,2,1,1,1,3,2,3,2,1,3,1,2,4,1,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,3,"0,59414"
14323,1,3,4,3,11,3,3,5,1,32,3,3,ITUIUTABA - MG,1,16,1,2,1,1,3, ,1,1,1,2,2,2,1,4,1,1,2,2,2,2,1,1,1,2,1,3,2,1,1,1,1,3,3,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,5,1,"0,42451"
